,ID,category,Name,artist,link,price,releaseDate
0,1451230484,Country,GIRL,Maren Morris,https://itunes.apple.com/us/album/girl/1451230484?uo=2,$11.99,2019-03-08T00:00:00-07:00
1,1443017230,Pop,Hangin' Tough (30th Anniversary),New Kids On the Block,https://itunes.apple.com/us/album/hangin-tough-30th-anniversary/1443017230?uo=2,$10.99,2019-03-08T00:00:00-07:00
2,1440916012,Pop,Still on My Mind,Dido,https://itunes.apple.com/us/album/still-on-my-mind/1440916012?uo=2,$7.99,2019-03-08T00:00:00-07:00
3,932694528,Rock,Greatest Hits,Queen,https://itunes.apple.com/us/album/greatest-hits/932694528?uo=2,$10.99,1981-10-26T00:00:00-07:00
4,1443601998,R&B/Soul,American Love Call,Durand Jones & The Indications,https://itunes.apple.com/us/album/american-love-call/1443601998?uo=2,$9.99,2019-03-01T00:00:00-07:00
5,1438523943,Pop,Gold in a Brass Age,David Gray,https://itunes.apple.com/us/album/gold-in-a-brass-age/1438523943?uo=2,$9.99,2019-03-08T00:00:00-07:00
6,932648190,Rock,"The Platinum Collection (Greatest Hits I, II & III)",Queen,https://itunes.apple.com/us/album/the-platinum-collection-greatest-hits-i-ii-iii/932648190?uo=2,$24.99,2000-11-13T00:00:00-07:00
7,1445190271,Rock,Shock,Tesla,https://itunes.apple.com/us/album/shock/1445190271?uo=2,$9.99,2019-03-08T00:00:00-07:00
8,1299856714,Soundtrack,The Greatest Showman (Original Motion Picture Soundtrack),Various Artists,https://itunes.apple.com/us/album/the-greatest-showman-original-motion-picture-soundtrack/1299856714?uo=2,$9.99,2017-12-08T00:00:00-07:00
9,1434899831,Soundtrack,Bohemian Rhapsody (The Original Soundtrack),Queen,https://itunes.apple.com/us/album/bohemian-rhapsody-the-original-soundtrack/1434899831?uo=2,$11.99,2018-10-19T00:00:00-07:00
10,1447184494,Christian & Gospel,Look Up Child,Lauren Daigle,https://itunes.apple.com/us/album/look-up-child/1447184494?uo=2,$7.99,2018-09-07T00:00:00-07:00
11,1450270988,Alternative,Weezer (Teal Album),Weezer,https://itunes.apple.com/us/album/weezer-teal-album/1450270988?uo=2,$7.99,2019-01-24T00:00:00-07:00
12,1446498145,Singer/Songwriter,Patty Griffin,Patty Griffin,https://itunes.apple.com/us/album/patty-griffin/1446498145?uo=2,$7.99,2019-03-08T00:00:00-07:00
13,1449154453,Alternative,Part 1 Everything Not Saved Will Be Lost,Foals,https://itunes.apple.com/us/album/part-1-everything-not-saved-will-be-lost/1449154453?uo=2,$7.99,2019-03-08T00:00:00-07:00
14,1454295699,Soundtrack,Captain Marvel (Original Motion Picture Soundtrack),Pinar Toprak,https://itunes.apple.com/us/album/captain-marvel-original-motion-picture-soundtrack/1454295699?uo=2,$9.99,2019-03-08T00:00:00-07:00
15,1453797120,Hip-Hop/Rap,Never Fold,Tedashii,https://itunes.apple.com/us/album/never-fold/1453797120?uo=2,$11.99,2019-03-08T00:00:00-07:00
16,593327799,Rock,The Very Best of Fleetwood Mac (Remastered),Fleetwood Mac,https://itunes.apple.com/us/album/the-very-best-of-fleetwood-mac-remastered/593327799?uo=2,$6.99,2002-10-15T00:00:00-07:00
17,1350091548,Country,Golden Hour,Kacey Musgraves,https://itunes.apple.com/us/album/golden-hour/1350091548?uo=2,$10.99,2018-03-30T00:00:00-07:00
18,1454729359,K-Pop,The Dream Chapter: STAR - EP,TOMORROW X TOGETHER,https://itunes.apple.com/us/album/the-dream-chapter-star-ep/1454729359?uo=2,$4.99,2019-03-04T00:00:00-07:00
19,1376705241,Country,This One’s for You Too (Deluxe Edition),Luke Combs,https://itunes.apple.com/us/album/this-ones-for-you-too-deluxe-edition/1376705241?uo=2,$12.99,2018-06-01T00:00:00-07:00
20,1448715541,Pop,"NOW That's What I Call Music, Vol. 69",Various Artists,https://itunes.apple.com/us/album/now-thats-what-i-call-music-vol-69/1448715541?uo=2,$7.99,2019-02-01T00:00:00-07:00
21,28457957,Rock,The Very Best of Chicago: Only the Beginning,Chicago,https://itunes.apple.com/us/album/the-very-best-of-chicago-only-the-beginning/28457957?uo=2,$6.99,2002-07-02T00:00:00-07:00
22,1446074052,Rock,Warpaint,Buckcherry,https://itunes.apple.com/us/album/warpaint/1446074052?uo=2,$9.99,2019-03-08T00:00:00-07:00
23,1322774442,Alternative,Dont Smile At Me,Billie Eilish,https://itunes.apple.com/us/album/dont-smile-at-me/1322774442?uo=2,$8.99,2017-08-11T00:00:00-07:00
24,1434367877,Soundtrack,A Star Is Born Soundtrack,Lady Gaga & Bradley Cooper,https://itunes.apple.com/us/album/a-star-is-born-soundtrack/1434367877?uo=2,$13.99,2018-10-05T00:00:00-07:00
25,1437948883,Alternative,Origins (Deluxe),Imagine Dragons,https://itunes.apple.com/us/album/origins-deluxe/1437948883?uo=2,$11.99,2018-11-09T00:00:00-07:00
26,1450982376,Singer/Songwriter,Joni 75: A Joni Mitchell Birthday Celebration (Live),Various Artists,https://itunes.apple.com/us/album/joni-75-a-joni-mitchell-birthday-celebration-live/1450982376?uo=2,$11.99,2019-03-08T00:00:00-07:00
27,1435351050,Rock,Anthem of the Peaceful Army,Greta Van Fleet,https://itunes.apple.com/us/album/anthem-of-the-peaceful-army/1435351050?uo=2,$6.99,2018-10-19T00:00:00-07:00
28,1246847437,Rock,Greatest Hits,Bob Seger & The Silver Bullet Band,https://itunes.apple.com/us/album/greatest-hits/1246847437?uo=2,$6.99,1994-10-25T00:00:00-07:00
29,1445949265,Soundtrack,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,https://itunes.apple.com/us/album/spider-man-into-spider-verse-soundtrack-from-inspired/1445949265?uo=2,$11.99,2018-12-14T00:00:00-07:00
30,1453854307,Alternative,Let Light Overcome,Our Last Night,https://itunes.apple.com/us/album/let-light-overcome/1453854307?uo=2,$5.99,2019-03-08T00:00:00-07:00
